ID,DESC,PROGRAM_NAME,DONOR_DESC,DONOR_NAME
149783,Monthly $860 benefits for up to 45 months. Must be spouses or children under age 26 of current veterans missing in action or of deceased or totally and permanently disabled (service-related) service persons. For more information visit the following web site http://www.gibill.va.gov.,Survivors and Dependents Educational Assistance (Chapter 35)-VA,"Federal agency charged with administering benefits for veterans and eligible dependents. Provides excellence in patient care, veterans benefits and customer satisfaction.",Department of Veterans Affairs (VA)
149785,Must be a current member of the organization in good standing or be the direct lineal descendant (to the third generation) of such a member. Please visit http://www.37thdva.org to see a copy of the application and to determine eligibility. Please note that the 37th Infantry Division was part of the U.S. Army.,37th Division Veterans Association Scholarship Grant Program,"Association promotes education through college scholarships and grants to the children of a 37th Division and/or heritage units of the 37th ID who served in World War I, World War II, the Korean War, and the global war on terror including those currently serving with the Ohio National Guard.",37th Division Veterans Association
149786,Award available to an enrolled college student majoring in transportation or traffic management. Must be a member or a dependent of a member of Transportation Clubs International. Must have completed at least one year of post-high school education. One-time award of $1000. See web site for application http://www.transportationclubsinternational.com/.,Transportation Clubs International Charlotte Woods Scholarship,"Organization's aim is to create, stimulate and perpetuate discussion of topics relating to local and national transportation issues.",Logistics & Transportation Association of North America
149787,"Merit-based award available to currently enrolled college students majoring in traffic management, transportation, physical distribution, logistics, or a related field. Must have completed at least one year of post-high school education. One-time award of $1500. Must submit three references. Available to citizens of the United States, Canada, and Mexico.",Transportation Clubs International Fred A. Hooper Memorial Scholarship,"Organization's aim is to create, stimulate and perpetuate discussion of topics relating to local and national transportation issues.",Logistics & Transportation Association of North America
149788,"Renewable, merit and need-based award available to students who have 500 hours work experience in footwear, leather, or allied industries during year of application, or have a parent employed in one of these fields for at least two years. Must have proof of employment and maintain 2.5 GPA.",Two Ten Footwear Foundation Scholarship,"Charitable organization for the footwear, leather, and allied industries.",Two Ten Footwear Foundation
149791,Merit-based awards available to high school seniors who are planning a career in government service. Must write an essay stating reason for deciding on a career in public service. Minimum 3.0 GPA required.,Washington Crossing Foundation Scholarship,"A private nonprofit 501c(3) corporation promoting a greater appreciation of the significance, courage and patriotism of George Washington and his leadership throughout the American Revolution.",Washington Crossing Foundation
149792,"Full tuition and housing scholarship renewable up to four years for high school seniors who have worked at least two years as a caddie at a Western Golf Association member club. Must demonstrate financial need, excellent academics and outstanding character. Visit www.wgaesf.org for more information.",Chick Evans Scholarship for Caddies,The Evans Scholars Foundation awards full tuition and housing scholarships to high-achieving caddies with limited financial means.,Evans Scholars Foundation
149793,"One-time award available for graduate study. Applicant must submit a thesis, project report, or technical journal on aviation, aviation electronics, or telecommunications (as related to aviation). Applications may be submitted in an electronic format.",William E. Jackson Award,"A private, not-for-profit corporation that develops consensus-based recommendations regarding communications, navigation, surveillance, and air traffic management (CNS/ATM) system issues.","RTCA, Inc."
149794,"One-time award for undergraduate or graduate study in journalism, mass communications or related major. Submit 500-word essay demonstrating an understanding of the right-to-work principle. High school seniors accepted into certified journalism school may apply. Specify ""Journalism"" or ""Ruggles"" scholarship on any correspondence.",National Institute for Labor Relations Research William B. Ruggles Journalism Scholarship,This organization is dedicated to exposing human civil rights violations brought about by compulsory unionism.,National Institute for Labor Relations Research
149795,"Scholarship for high school juniors and seniors holding elected student offices. Two students selected from each state. Selection process will vary by state. Contact school principal or state department of education for information. Deadlines: early fall of each year for most states, but specific date will vary by state (see website www.ussenateyouth.org). Program is open to citizens and permanent residents of the United States Department of Defense schools overseas and the District of Columbia (not the territories).",United States Senate Youth Program,"A philanthropic organization making grants in areas of education, culture, health, and social services.",William Randolph Hearst Foundation
149796,One-time awards for high school students in grades 9 through 12. Must submit an original work of art expressing their patriotism. First place state-level winners go on to national competition. Eight awards of varying amounts. Must reside in same state as sponsoring organization.,Young American Creative Patriotic Art Awards Program,"Designed to be a fraternal, patriotic, historical, and educational veterans society.",Ladies Auxiliary to the Veterans of Foreign Wars
