ID,BATCH,FILL00,COMMENTS,DESC1,DESC2,DESC3,DESC4,CNAME1,CNAME2,FILL01,CADDR,CCITY,CST,CZIP,CZIP2,FILL02,M-STUD1,M-STUD2,M-STUD3,M-STUD4,M-STUD5,M-STUD6,M-STUD7,M-STUD8,M-STUD9,M-STUD10,M-STUD11,M-STUD12,SFUND,FILL03,LOAWDS,HIAWDS,SDONOR,PCTAWD,LOAMNT,HIAMNT,FILL05,APDLMO,APDLDA,FILL06,APPLAPPL,APPLTRAN,APPLAUTO,APPLTEST,APPLINTE,APPLFINE,APPLESSA,APPLREFS,APPLSPEC,APPLCOMC,APPLFEE,CONTNAME,CONTNAM2,CONTNAM3,CONTADDR,CONTCITY,CONTST,CONTZIP1,CONTZIP2,CONTAREA,CONTEXCH,CONTLINE,CONTEXT,PUBFUND1,PUBFUND2,PUBDONR1,PUBDONR2,APPLHS,APPLHSN,FILL07,SCHOL,LOAN,FILL08,RENYES,RENNO,MALE,FEMALE,MAR,SIN,AU17,A18,A1920,A21,A2224,A25,A2630,A3134,A35,UHALF,UTHIRD,UFOURTH,FRESH,SOPH,JUNIOR,SENIOR,GSTU,TWOYR,FOURYR,TRTECH,BLIND,DEAF,PHYS,INDESK,ASIAN,BLACK,HISP,ANYSVC,AF,ARMY,NAVY,MARINES,CG,KD,STUD1,STUD2,STUD3,STUD4,STUD5,STUD6,STUD7,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,REL1,REL2,REL3,ETH1,ETH2,ETH3,ETH4,ETH5,EMP1,EMP2,EMP3,TAL1,TAL2,TAL3,CVC1,CVC2,CVC3,SUP,UPDYR,UPDMO,UPDDA,ANY-YR,PUB,PRIZE,INTERN,HS-YES,HS-NO,SASE,STUD8,STUD9,STUD10,STUD11,STUD12,TAL4,TAL5,CON-NO,FEE-NO,CONTESTN,APPLFEEN,ST11,ST12,ST13,ST14,ST15,CONTFAC,CONTFEX,CONTFLIN,CONTFEXT,SVLOGMO,SVLOGDA,SVLOGYR,SRC1,SRC2,SRC3,SRC4,NUMAWD,TOTALAWD,CORPCD,AIRNG,ARMYNG,NAVYNG,MARINENG,DESC5,LEARN,DONDES1,DONDES2,DONDES3,DONDES4,FEEAMT,AWARD-NON-US,SR-ST1,SR-ST2,SR-ST3,SR-ST4,SR-ST5,SR-ST6,SR-ST7,SR-ST8,SR-ST9,SR-ST10,SR-ST11,SR-ST12,SR-ST13,SR-ST14,SR-ST15,SPONSOR-URL,CONTACT-EMAIL,SRC1-Y,SRC1-N,FT_ONLY,PT_ONLY,FT_PT
150376,,,,Nonrenewable scholarship for veterans or children of ve,terans who served in the Armed Forces during dates of eligib,ility for American Legion membership. Merit-based award. App,lication available on web site http://mdlegion.org.,,,,,,,,,,,,,,,,,,,,,,American Legion Department of Maryland General Sch,,1,10,,,,500,,4,1,,X,X,,,,X,X,,,,,,,,,,,,,,,,,American Legion Department of Maryland General Scholarship Fund,,American Legion Department of Maryland,,X,,,X,,,,X,,,,,,,,,,,,,,,,,X,X,X,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,5,2500,,,,,,,,"A patriotic, mutual-help, war-time veterans organization. A",community-service organization which now numbers nearly 63," thousand members, men and women, in 139 American Legion Po",sts throughout the state of Maryland.,,,,,,,,,,,,,,,,,,www.mdlegion.org/,,,X,X,,
150378,,,,"One-time scholarship for son or daughter of veterans, w",ho were in armed forces during the eligibility dates for Ame,rican Legion membership. Must be high school senior. Only on,e candidate per Auxiliary Unit. Applicant must complete 50 h,,,,,,,,,,,,,,,,,,,,,,ALA  National President's Scholarship,,15,,,,2500,3500,,3,1,,X,,,,,X,X,,,,,,,,,,,,,,,,,American Legion Auxiliary National President's Scholarship,,American Legion Auxiliary Department of Michigan,,X,,,X,,,,X,,,,,,,,,,,,,,,,,X,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,ours of volunteer service in the community. Must submit essa,,Serves veterans and their communities by promoting various,services and programs.,,,,,,,,,,,,,,,,,,,,www.michalaux.org/,,,X,X,,
150379,,,,Oratorical contest open to students in ninth to twelfth,grades of any accredited Michigan high school or state accr,edited home school. Five one-time awards of varying amounts.,State winner advances to National Competition for scholarsh,,,,,,,,,,,,,,,,,,,,,,American Legion Department of Michigan Oratorical,,5,,,,800,1500,,11,19,,X,,,,,,X,,,,,,,,,,,,,,,,,American Legion Department of Michigan Oratorical Scholarship Program,,American Legion Department of Michigan,,X,,,X,,,,X,,,,,,,,,,,,,,,,,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,MI,,,,,,,,,,,,,,,,,,,,,PU,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,5,3600,,,,,,"ip money ranging from $14,000 to $18,000. Application Due in",,A national veterans organization that assists military pers,onnel and their families.,,,,,,,,,,,,,,,,,,,,www.michiganlegion.org/,,,X,,,X
150380,,,,Scholarship for Minnesota residents who are veterans or,dependents of veterans. One-time award of $500 for study at,a Minnesota institution or neighboring state with reciproca,ting agreement. All applications must be approved and recomm,,,,,,,,,,,,,,,,,,,,,,Minnesota Legionnaires Insurance Trust Scholarship,,3,,,,500,,,4,1,,X,,,,,X,X,,,,,,,,,,,,,,,,,Minnesota Legionnaires Insurance Trust Scholarship,,"The American Legion, Department of Minnesota",,,X,,X,,,,X,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,X,,,,,,,,X,,,,,,X,,,,,,,,MN,,,,,,,,,,,,,,,,,,,,,,,,LA,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,3,1500,,,,,,ended by a post of the American Legion. See web site for app,,"A Veterans organization, which now numbers nearly 3 million"," members, men and women, in nearly 15,000 American Legion P",osts worldwide.,,,,IA,MN,ND,SD,WI,,,,,,,,,,,www.mnlegion.org/,,,X,,,X
150381,,,,Scholarship available to Minnesota residents who are de,pendents of members of the Minnesota American Legion or Auxi,liary. One-time award of $500 for study at a Minnesota insti,tution or neighboring state with reciprocating agreement. Se,,,,,,,,,,,,,,,,,,,,,,American Legion Department of Minnesota Memorial S,,6,,,,500,,,4,1,,X,,,,,X,X,,,,,,,,,,,,,,,,,American Legion Department of Minnesota Memorial Scholarship,,"The American Legion, Department of Minnesota",,,X,,X,,,,X,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,X,,,,,,,,X,,,,,,X,,,,,,,,MN,,,,,,,,,,,,,,,,,,,,,,,,LA,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,6,3000,,,,,,e web site for application information http://www.mnlegion.o,,"A Veterans organization, which now numbers nearly 3 million"," members, men and women, in nearly 15,000 American Legion P",osts worldwide.,,,,IA,MN,ND,SD,WI,,,,,,,,,,,www.mnlegion.org/,,,X,,,X
150382,,,,Oratorical contest open to students in ninth to twelfth,grades of any accredited Minnesota high school or home-scho,oled students. Must be Minnesota resident. Speech must be st,udent's original work on the general subject of the Constitu,,,,,,,,,,,,,,,,,,,,,,AL Dept. of MN High School Oratorical Contest,,4,,,,500,1500,,11,30,,,,,,,,,,,,,,,,,,,,,,,,,American Legion Department of Minnesota High School Oratorical Contest,,"The American Legion, Department of Minnesota",,X,,,X,,,,X,,,,,,,,,,,,,,,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,MN,,,,,,,,,,,,,,,,,,,,,PU,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,4,3700,,,,,,tion. Speech contests begin in December at local Legion post,,"A Veterans organization, which now numbers nearly 3 million"," members, men and women, in nearly 15,000 American Legion P",osts worldwide.,,,,,,,,,,,,,,,,,,,www.mnlegion.org/,,,X,,,X
150383,,,,Oratorical contest open to students under 20 years in 9,th-12th grades of any accredited New York high school. Speec,h contests begin in November at post levels and continue to,national competition. Must be U.S. citizen or permanent resi,,,,,,,,,,,,,,,,,,,,,,American Legion Department of New York High School,,,,,,2000,6000,,V,,,X,,,,,,,,,X,,,,,,,,,,,,,,American Legion Department of New York High School Oratorical Contest,,American Legion Department of New York,,X,,,X,,,,X,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,NY,,,,,,,,,,,,,,,,,,,,,PU,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,dent. Payments are made directly to college and are awarded,,A not-for-profit wartime veterans' community-based organiza,"tion dedicated to serving the community, state, and nation."," The emphasis is on children and youth programs, veterans'","rehabilitation programs, and Americanism programs.",,,,,,,,,,,,,,,,,,www.ny.legion.org/,,,X,X,,
150385,,,,Oratorical contest for high school students in grades n,ine to twelve. Contestants must prepare to speak on the topi,c of the U.S. Constitution. Must graduate from an accredited,North Dakota high school. Contest begins at the local level,,,,,,,,,,,,,,,,,,,,,,American Legion Department of North Dakota Nationa,,38,,,,100,2000,,10,30,,X,,,,,,,,,,,,,,,,,,,,,,,American Legion Department of North Dakota National High School Oratorical Contest,,American Legion Department of North Dakota,,X,,,,,,,X,,,,,,,,,,,,,,,,,X,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,,,,,,,,,,,,,PU,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,38,,,,,,,and continues to the national level. Several one-time award,,Veterans Organization.,,,,,,ND,,,,,,,,,,,,,,,www.ndlegion.org/,,,X,X,,
150386,,,,Oratorical Scholarship Program Contest open to students,in ninth to twelfth grades of any accredited West Virginia,high school. Speech contests begin in January at post level,and continue on to national competition. Contact local Ameri,,,,,,,,,,,,,,,,,,,,,,American Legion Department of West Virginia High S,,25,39,,,200,,,1,1,,X,,,,,,,,,,,,,,,,,,,,,,,American Legion Department of West Virginia High School Oratorical Contest,,American Legion Department of West Virginia,,X,,,X,,,,X,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,WV,,,,,,,,,,,,,,,,,,,,,PU,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,1500,4000,,,,,,"can Legion Post for deadlines and application details, or Am",,A nonprofit veterans' organization.,,,,,,WV,,,,,,,,,,,,,,,www.wvlegion.org/,,,X,X,,
150387,,,,One-time prize awarded annually to the winner of the We,st Virginia American Legion State Oratorical Scholarship Pro,gram Contest. Must be in ninth to twelfth grade of an accred,ited West Virginia high school to compete. For use at a West,,,,,,,,,,,,,,,,,,,,,,American Legion Department of West Virginia Board,,1,,,,,2000,,1,1,,X,,,,,,,,,,,,,,,,,,,,,,,American Legion Department of West Virginia Board of Regents Scholarship,,American Legion Department of West Virginia,,X,,,X,,,,X,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,WV,,,,,,,,,,,,,,,,,,,,,PU,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,1,4000,,,,,,Virginia institution only.,,A nonprofit veterans' organization.,,,,,,WV,,,,,,,,,,,,,,,www.wvlegion.org/,,,X,X,,
150390,,,,Must be a citizen or permanent resident of the United S,"tates or Canada, or be actively pursuing an advanced degree",at a North American college or university. Awarded to enable,a person to work on an individual project of a scholarly na,,,,,,,,,,AY,HP,HS,CL,,,,,,,,,Pomerance Fellowship,,1,,,,5000,,,11,1,,X,,,,,,X,,,,,,,,,,,,,,,,,Harriet and Leon Pomerance Fellowship,,Archaeological Institute of America,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,1,5000,,,,,,ture related to Aegean Bronze Age Archaeology.,,The Archaeological Institute of America (AIA) promotes arch,aeological inquiry and public understanding of the material,record of the human past to foster an appreciation of dive,rse cultures and our shared humanity.  The AIA supports arc,,,,,,,,,,,,,,,,,,www.archaeological.org/,,,X,,,X
150402,,,,College sophomores and juniors enrolled or planning to,"enroll in a full-time, four or five-year ABET or ACCE-accred",ited construction management or construction-related enginee,ring program are eligible to apply. High school seniors and,,,,,,,,,,CE,CV,,,,,,,,,,,AGC Ed. & Research Foundation Undergraduate Schol.,,100,150,,,2500,7500,,11,1,,X,,,,X,,X,,,,,,,,,,,,,,,,,AGC Education and Research Foundation Undergraduate Scholarships,,Associated General Contractors Education and Research Foundation,,,X,,X,,,X,,,,,,,,,,,,,,,,,,,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,142,460000,,,,,,college freshmen are not eligible.,,A nonprofit charitable organization dedicated to improving,the science of construction through scholarships and resear,"ch. Foundation also recognizes outstanding educators, spons","ors an annual student essay competition, and supports a wid",,,1,,,,,,,,,,,,,,,www.agcfoundation.org/,,,X,X,,
150403,,,,Award for a certified Indian tribal member enrolled in,an undergraduate degree program in education or social servi,ce. Must maintain minimum 3.0 GPA and work with Native Ameri,cans in a social service or educational role after graduatio,,,,,,,,,,ED,SS,,,,,,,,,,,"Continental Soc., Daughters of Indian Wars Schol.",,,,,,5000,,,6,15,,X,,,,,X,X,,,,,,,,,,,,,,,,,"Continental Society, Daughters of Indian Wars Scholarship",,"Continental Society, Daughters of Indian Wars",,,X,,X,,,,X,,,,,,,,,,,,,,,X,,X,X,X,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,n. Preference given to those in or entering junior year.,,An hereditary organization of descendants of Native America,"ns and immigrants who participated in the early conflicts,",between 1607 and 1900.,,,,,,,,,,,,,,,,,,,www.csdiw.org/,,,X,X,,
150404,,,,First prize is a CD recording grant (not tuition). Limi,ted to nine performers and twenty-five minutes duration. Wor,ks with additional performers will be accepted provided ther,e is a release of the original recorded master for CD reprod,,,,,,,,,,,,,,,,,,,,,,National Competition for Composers' Recordings,,1,,,,2000,6000,,3,30,,X,,,,,,,,,,X,,,,,,,,,,,,,National Competition for Composers' Recordings,,Contemporary Record Society,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MU,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3500,,,,,,uction. Must submit a musical composition that is non-publis,,The society was established to promote both a fellowship in," the musical arts between performing artists, composers, pr","esenters, and commercial recordings of participants in this"," endeavor. It offers to members throughout the globe, in ea",50,,,,,,,,,,,,,,,,,www.crsnews.org/,,,X,,,X
150405,,,,There are no age restrictions to participate. Applicant,may submit one performance tape of varied length including,music of any period of music with each application. The appl,icant may use any number of instrumentalists and voices. Fir,,,,,,,,,,,,,,,,,,,,,,CRS National Competition for Performing Artists,,1,,,,2000,6000,,3,30,,X,,,,,,,,,,X,,,,,,,,,,,,,Contemporary Record Society National Competition for Performing Artists,,Contemporary Record Society,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MU,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4000,,,,,,st prize is a commercial distribution of the winner's record,,The society was established to promote both a fellowship in," the musical arts between performing artists, composers, pr","esenters, and commercial recordings of participants in this"," endeavor. It offers to members throughout the globe, in ea",50,,,,,,,,,,,,,,,,,www.crsnews.org/,,,X,,,X
150406,,,,Non-renewable award for college graduate or graduating,"senior from a U.S. or Canadian college or university, or to",American or Canadian citizens enrolled at non-North American," universities or colleges, to pursue graduate studies in Byz",,,,,,,,,,AE,AH,AR,EU,HS,RT,,,,,,,Bliss Prize Fellowship in Byzantine Studies,,1,,,,,45000,,11,1,,X,X,,,,,X,X,X,,,,,,,,,,,,,,,Bliss Prize Fellowship in Byzantine Studies,,Dumbarton Oaks,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,1,40000,,,,,,antine civilization and culture. Must be graduate school app,,The organization is an international center for scholarship,", providing resources for study and publishing scholarly wo","rks in Byzantine, Pre-Columbian, and Garden and Landscape S",tudies.,,,,,,,,,,,,,,,,,,www.doaks.org/,,,X,X,,
150410,,,,Renewable scholarship for young men entering freshman y,ear at a Catholic college or university. Applicants must sub,mit Pro Deo and Pro Patria Scholarship application and a cop,y of Student Aid Report (SAR). Must be a member or a son of,,,,,,,,,,,,,,,,,,,,,,Percy J. Johnson Endowed Scholarships,,,,,,1500,,,3,1,,X,X,,X,,X,,X,,,,,,,,,,,,,,,,Percy J. Johnson Endowed Scholarships,,Knights of Columbus,,,X,,X,,,X,,X,,,,,,,,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RC,,,,,,,,,,,,,,KC,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,a member of the Knights of Columbus. Must also rank in upper,,A Catholic family fraternal service organization that was f,ormed to render financial aid to members and their families,.,,,,,,,,,,,,,,,,,,,www.kofc.org/,,,X,X,,
150411,,,,Renewable scholarships for members of Canadian Knights,of Columbus councils and their children who are entering fir,st year of study for Baccalaureate degree. Based on academic,excellence. Award not limited to Fourth Degree members.,,,,,,,,,,,,,,,,,,,,,,Fourth Degree Pro Deo and Pro Patria (Canada),,,,,,1500,,,5,1,,X,X,,X,,,,X,,,,,,,,,,,,,,,,Fourth Degree Pro Deo and Pro Patria (Canada),,Knights of Columbus,,,X,,X,,,X,,,,,,,,,,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RC,,,,,,,,,,,,,,KC,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,A Catholic family fraternal service organization that was f,ormed to render financial aid to members and their families,.,,,,,,,,,,,,,,,,,,,www.kofc.org/,,,X,X,,
150412,,,,Grants for upper division and graduate students who wis,h to study language and culture at the Center for Polish Lan,"guage and Culture in the World, Jagiellonian University in C","racow, Poland. U.S. citizens who are undergraduate sophomore",,,,,,,,,,AE,FL,,,,,,,,,,,Year Abroad Program in Poland,,5,11,,,900,1800,,1,15,,X,X,,,X,,X,X,X,,X,,,,,,,,,,,,,Year Abroad Program in Poland,,Kosciuszko Foundation,,,X,,X,,,,X,,,,,,,,,,,,,,,X,,,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10800,,,,,,"s, juniors, seniors and graduate students may apply. Scholar",,Foundation is dedicated to promoting and strengthening unde,rstanding and friendship between the peoples of Poland and,"the United States through educational, scientific, and cult","ural exchanges, and other related programs and activities.",50,,,,,,,,,,,,,,,,,www.thekf.org,,,X,X,,
150413,,,,Scholarship supports American students of Polish descen,t for full-time graduate studies in the United States. Minim,um 3.0 GPA required. Application fee: $35.,,,,,,,,,,,,,,,,,,,,,,,Tuition Scholarship,,80,100,,,1000,7000,,1,16,,X,X,,,,X,X,X,X,,X,,,,,,,,,,,,,Kosciuszko Foundation Tuition Scholarship,,Kosciuszko Foundation,,,X,,X,,,,X,,,,,,,,,,,,,,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,260500,,,,,,,,Foundation is dedicated to promoting and strengthening unde,rstanding and friendship between the peoples of Poland and,"the United States through educational, scientific, and cult","ural exchanges, and other related programs and activities.",35,,,,,,,,,,,,,,,,,www.thekf.org,,,X,X,,
150414,,,,Awards are available to junior and senior students purs,uing a baccalaureate degree in nursing as well as to the lic,ensed registered nurse who wishes to continue education to t,he baccalaureate degree. A minimum 2.5 GPA is required. Appl,,,,,,,,,,NU,,,,,,,,,,,,Nursing Education Loan-BSN (NELB),,,,,,4000,,,3,31,,X,,,,,,,,,,,,,,,,,,,,,,,Nursing Education Loan/Scholarship-BSN,,Mississippi Office of Student Financial Aid,,,X,,,,,,X,,,,,,,,,,,,,,X,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,74,260167,,,,,,icants must be Mississippi residents and agree to employment,,The Mississippi Office of Student Financial Aid is the stat,"e agency that provides state-supported scholarships, loans",and grants to assist Mississippi students who are seeking p,ostsecondary education.,,,MS,,,,,,,,,,,,,,,www.mississippi.edu/financialaid,,X,,,,X
150415,,,,Forgivable loan for Mississippi graduate nursing studen,ts attending Mississippi universities. Applicant must be a l,icensed registered nurse who has completed the BSN degree re,quirements and a resident of Mississippi. Minimum 3.0 GPA re,,,,,,,,,,NU,,,,,,,,,,,,Nursing Education Loan-MSN (NELM),,,,,,4000,,,3,31,,X,,,,,,,,,,,,,,,,,,,,,,,Mississippi Nursing Education Loan/Scholarship-MSN,,Mississippi Office of Student Financial Aid,,,X,,,,,,X,,,,,,,,,,,,,,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,118,394167,,,,,,quired. Must fulfill work obligation in Mississippi or pay b,,The Mississippi Office of Student Financial Aid is the stat,"e agency that provides state-supported scholarships, loans",and grants to assist Mississippi students who are seeking p,ostsecondary education.,,,MS,,,,,,,,,,,,,,,www.mississippi.edu/financialaid,,X,,,,X
150418,,,,One-time scholarship available to graduate students wit,h an interest in library science. Must have commitment to se,"rvice for children. Submit transcripts, references, and self",#NAME?,,,,,,,,,,LI,,,,,,,,,,,,Frederic G. Melcher Scholarship,,2,,,,6000,,,3,1,,X,X,,,,,X,X,,,,,,,,,,,,,,,,Frederic G. Melcher Scholarship,,ALA-ALSC Association For Library Service to Children,,,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,2,12000,,,,,,,,A professional organization for librarians and supporters o,f libraries in service to children.,,,,,,,,,,,,,,,,,,,,www.ala.org/alsc,,,X,,,X
150420,,,,Scholarship available to graduate students with an inte,rest in library science. Must have commitment to service for," children. Submit transcripts, references, and self-addresse",d stamped envelope with application. One-time award.,,,,,,,,,,LI,,,,,,,,,,,,Bound to Stay Bound Scholarship,,4,,,,7000,,,3,1,,X,X,,,,,X,X,,,,,,,,,,,,,,,,Bound to Stay Bound Scholarship,,ALA-ALSC Association For Library Service to Children,,,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,4,28000,,,,,,,,A professional organization for librarians and supporters o,f libraries in service to children.,,,,,,,,,,,,,,,,,,,,www.ala.org/alsc,,,X,,,X
150422,,,,Scholarship for children or grandchildren of veterans w,ho served in Armed Forces during eligibility dates for Ameri,"can Legion membership. Must be high school senior, ages 16 t","o 18, Ohio resident, and U.S. citizen. Award for full-time u",,,,,,,,,,,,,,,,,,,,,,AL Aux. Dept. of OH Department President's Schol.,,2,,,,1000,1500,,3,1,,X,X,,,,X,X,X,,,,,,,,,,,,,,,,American Legion Auxiliary Department of Ohio Department President's Scholarship,,American Legion Auxiliary Department of Ohio,,X,,,X,,,,X,,,,,,,,,,,,,,,,,X,,,,,X,X,,,,,,,,,X,,,,,,X,,,,,,,,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,2,3500,,,,,,ndergraduate study. One-time award of $1000 to $1500.,,Nonprofit veterans organization that assists veterans and t,heir families when needs arise.,,,,,,,,,,,,,,,,,,,,www.alaohio.org/,,,X,X,,
150424,,,,International Fellowships are awarded for full-time stu,dy or research in the United States to women who are not U.S,. citizens or permanent residents. Both graduate and postgra,duate studies at accredited U.S. institutions are supported.,,,,,,,,,,,,,,,,,,,,,,International Fellowships,,,,,,18000,30000,,12,1,,X,X,,X,,,,X,X,,X,,,,,,,,,,,,,International Fellowships,,American Association of University Women (AAUW),,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAUW has a long and distinguished history of advancing educ,ational and professional opportunities for women in the Uni,ted States and around the globe.,,30,,,,,,,,,,,,,,,,,www.aauw.org/,,,X,X,,
150425,,,,Career Development Grants provide funding to women purs,"uing a certificate or degree to advance their careers, chang","e careers, or re-enter the workforce and whose Bachelor's de",gree was received at least five years before the award perio,,,,,,,,,,,,,,,,,,,,,,AAUW Career Development Grants,,,,,,2000,12000,,12,15,,X,,,,,,,X,,,X,,,,,,,,,,,,,American Association of University Women Career Development Grants,,American Association of University Women (AAUW),,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d.,,AAUW has a long and distinguished history of advancing educ,ational and professional opportunities for women in the Uni,ted States and around the globe.,,35,,,,,,,,,,,,,,,,,www.aauw.org/,,,X,,,X
150426,,,,American Fellowships support women scholars completing,"doctoral dissertations, conducting postdoctoral research, or",finishing research for publication. Recipients must be U.S.,citizens or permanent residents.,,,,,,,,,,,,,,,,,,,,,,American Fellowships,,,,,,6000,30000,,11,15,,X,X,,,,,,X,X,,X,,,,,,,,,,,,,American Fellowships,,American Association of University Women (AAUW),,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAUW has a long and distinguished history of advancing educ,ational and professional opportunities for women in the Uni,ted States and around the globe.,,,,,,,,,,,,,,,,,,,www.aauw.org/,,,X,X,,
