ID,ACNA,EMPNA,ETHNA,NATNA,RELNA,HOBNA,CIVNA,APPPH,APPDRIVE,APPPORTF,GRANT,FELLOW,POSTGRAD,UNIV,AGE_FROM,AGE_TO,CITIZEN0,CITIZEN1,CITIZEN2,CITIZEN3,CITIZEN4,CITIZEN5,AP_SOC,AP_FNAM,AP_INIT,AP_LNAM,AP_TITLE,AP_PHONE,AP_FAX,AP_EMAIL,ADDR1,ADDR2,CITY,ST,ZIPCODE,COUNTRY,FLOAN,USA_Y,USA_N,CAN_Y,CAN_N,FRN_Y,FRN_N,APPRESUME,APPL_OTHER_TEXT,R_911,AWDS_VARIES,AMNT_VARIES,NUMAPP,COMM_SERV,APPL_ONLINE,APPL_ONLINE_URL
149726,,,,,,,,,,,,,,X,,,,,,,,,,,,,Scholarship Coordinator,708-352-6611,708-352-0469,outreach@ans.org,555 North Kensington Avenue,,La Grange Park,IL,60526,,,X,,X,,X,,,,,,,,,,
149727,,,,,,,,,,,,,,X,,,U.S.,,,,,,,,,,Scholarship Coordinator,708-352-6611,708-352-0499,outreach@ans.org,555 North Kensington Avenue,,La Grange Park,IL,60526,,,X,,,X,,X,,,,,,,,,
149728,,,,,,,,,,,,,,X,18,30,U.S.,Norwegian,,,,,,,,,Scholarship Coordinator,612-827-3611,612-827-0658,,1455 West Lake Street,,Minneapolis,MN,55408-2666,,,X,,,X,X,,,,,,,26,X,X,http://www.sonsofnorway.com/foundation
149729,,,,,,,,,,,,,,X,,,U.S.,,,,,,,,,,,203-752-4332,,info@kofc.org,Department of Scholarships,PO Box 1670,New Haven,CT,06507-0901,,,X,,,X,,X,,,,,,,,,
149733,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Lakeisha,,Graham,"Manager, Office of the Reporter General",202-628-1776,202-879-3348,nsdarscholarships@dar.org,"1776 D Street, NW",,Washington,DC,20006-5303,,,X,,,X,,X,,,,,,,,,
149735,,,,,,,,,,,,,,X,,22,U.S.,,,,,,Col.,Len,,Hayes,Executive Director,760-712-7088,,lenhayes@cox.net,410 Pier View Way,,Oceanside,CA,92054,,,X,,,X,,X,,,,,,30,,,
149736,,,,,,,,,,,,,,X,,,,,,,,,,,,,Scholarship Department,866-496-5462,,Scholarship@mcsf.org,909 N Washington Street,Suite 400,Alexandria,VA,22314,,,X,,,,,,,,,,,2578,,,
149737,,,,,,,,X,,,,,,X,,,,,,,,,Mr.,Richard,,Van Horne,"Chairman, Board of Trustees, SMDA Memorial Scholarship Fund",910-673-3123,,rvanhorne@embarqmail.com,6178 Seven Lakes West,,West End,NC,27376,,,X,,X,,X,,,,,,,30,,,
149738,,,,,,,,X,,,,,,X,16,23,U.S.,,,,,,,Patrick,J.,Conroy,"Secretary, Memorial Scholarship Fund",330-322-9952,,conroypj11@aol.com,3454 Stillwood Blvd.,,Stow,OH,44224-4684,,,X,,,X,,X,,,,,,7,,,
149742,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Jill,,Nelson,Administrative Coordinator,972-243-2272,972-484-2720,info@arcfoundation.org,"9425 North MacArthur Boulevard, Suite 100",,Irving,TX,75063-4706,,,X,,,X,,X,,paper on respiratory care,,,,,,,
149743,,,,,,,,,,,,,,X,,,U.S.,,,,,,,,,,Elks National Foundation Scholarship Office,773-755-4732,,scholarship@elks.org,2750 North Lakeview Avenue,,Chicago,IL,60614-2256,,,X,,,X,,X,,,,,,20000,X,,
149745,,,,,,,,,,,,,,X,,,,,,,,,,John,,Zink,Scholarship Coordinator,800-533-7694,,scholarships@naphcc.org,180 South Washington Street,Suite 100,Falls Church,VA,22046,,,X,,X,,,X,,,,,,60,X,,
149748,,,,,,,,,,,,,X,X,,,,,,,,,Ms.,Patti,,Chang,"Chairperson, NFB Scholarship Committee",410-659-9314,,scholarships@nfb.org,200 East Wells Street,,Baltimore,MD,21230,,,X,,X,,X,,,,,,,720,,,
149749,,,,,,,,X,,,,,X,X,,,U.S.,,,,,,Ms.,Ricardo,,Deleon,COO,310-975-3700,,scholar1@hsf.net,1411 West 190th Street,Suite 700,Gardena,CA,90248,,,X,,,X,,X,,,,,,120000,X,,
149750,,,,,,,,,,,,,,X,,,,,,,,,,Sherwin,,Little,Executive Director,513-529-7741,,info@aclclassics.org,860 NW Washington Boulevard,Suite A,Hamilton,OH,45013,,,X,,X,,X,,,,,,,,,,
149751,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Mary,,Roediger,National Coordinator,740-591-5149,,wool@sewtruedesigns.com,PO Box 123,,Albany,OH,45710,,,X,,,X,,X,,,,,,647,,,
149755,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Kristin,,Hinshaw,Program Coordinator,317-569-4500,,Education@ALAforVeterans.org,8945 North Meridian Street,Suite 200,Indianapolis,IN,46260,,,X,,,X,,X,,,,,,,,,
149756,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Lakeisha,,Graham,"Manager, Office of the Reporter General",202-628-1776,202-879-3348,nsdarscholarships@dar.org,"1776 D Street, NW",,Washington,DC,20006-5303,,,X,,,X,,X,,,,,,,,,
149757,,,,,,,,,,,,,,X,,,,,,,,,,Susan,E.,Noell,Director of Education Programs,703-549-6400,703-549-2984,snoell@nsacct.org,1010 North Fairfax Street,,Alexandria,VA,22314-1574,,,X,,X,,,X,,appraisal form,,,,1000,,,
149759,,,,,,,,,,,,,,X,,23,U.S.,,,,,,Mrs.,Beverly,,Langdon,"Education, Program Manager",703-696-4960,,education@nmcrs.org,"875 North Randolph Street, Suite 225",,Arlington,VA,22203,,,X,,,X,,X,,,,,,250,,,
149765,,,,,,,,,,,,,,X,,,U.S.,,,,,,Rev.,Donald,,Barry,Scholarship Coordinator,202-336-6800,202-408-8102,info@kofc.org,"Department of Scholarships, PO Box 1670",,New Haven,CT,06507-0901,,,X,,,X,,X,,,,,,,,,
149769,,,,,,,,,,,,,,X,,,,,,,,,,,,,Program Manager,301-493-0290,301-493-0208,scholarships@asprs.org,"5410 Grosvenor Lane, Suite 210",,Bethesda,MD,20814-2160,,,X,,X,,X,,,work sample,,,,,,,
149770,,,,,,,,,,,,,X,X,,,,,,,,,,,,,Rotary Foundation Support Center,866-976-8279,,contact.center@rotary.org,"One Rotary Center, 1560 Sherman Avenue",,Evanston,IL,60201-3698,,,X,,X,,X,,,,,,,,,X,http://www.rotary.org
149773,,,,,,,,X,,X,,,,X,,,,,,,,,,,,,General Information,212-343-7700,,info@artandwriting.org,557 Broadway,,New York,NY,10012,,,X,,X,,X,,,,,,,320000,,,
149775,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Sheryl,,Chiogioji,Administrative Assistant,301-570-2850,,smsa@seabee.org,PO Box 6574,,Silver Spring,MD,20916,,,X,,,X,,X,,,,,,235,,,
149777,,,,,,,,X,,,,,,X,,,,,,,,,,,,,Attn: Actuarial Diversity Scholarship,847-706-3535,,scholarships@actfnd.org,"475 North Martingale Road, Suite 600",,Schaumburg,IL,60173-2226,,,X,,X,,X,,,,,,,63,,,
149779,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Mary,P.,Maroney,"Chairperson, Memorial and Scholarship Funds",,,,11804 Grey Birch Place,,Reston,VA,20191,,,X,,,X,,X,,,,,,50,,,
149783,,,,,,,,,,,,,,X,,25,,,,,,,,Keith,M.,Wilson,"Director, Education Service",888-442-4551,,,"810 Vermont Avenue, NW",,Washington,DC,20420,,,X,,X,,X,,,,,,,,,,
149785,,,,,,,,,,,,,X,X,,,,,,,,,,Mandy,L.,Oberyszyn,Executive Director,614-228-3788,,mandy@37thdva.org,"35 East Chestnut Street, Suite 512",,Columbus,OH,43215,,,X,,,,,,,,,,,6,X,,
149786,,,,,,,,X,,,,,,X,,,,,,,,,,Crystal,,Hunter,Program Manager,800-377-2401,,awards@goldenkey.org,PO Box 426,,Union,WA,98592,,,X,,X,,X,,,,,,,40,,,
149787,,,,,,,,X,,,,,,X,,,,,,,,,,Katie,,deJonge,Executive Director,360-898-3344,,executive.director@ltna.org,PO Box 426,,Union,WA,98592,,,X,,X,,X,,,,,,,40,,,
149788,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Liz,,Watson,Scholarship Program Manager,781-736-1500,,scholarship@twoten.org,1466 Main Street,,Waltham,MA,02451-1623,,,X,,,X,,X,,,,,,315,,,
149791,,,,,,,,X,,,,,,X,,,U.S.,,,,,,,,,,Washington Crossing Foundation,215-949-8841,,info@gwcf.org,PO Box 503,,Levittown,PA,19058-0503,,,X,,,X,,X,,,,,,,,,
149792,,,,,,,,X,,,,,,X,17,19,,,,,,,,,,,Scholarship Committee,847-724-4600,,applications@wgaesf.org,One Briar Road,,Golf,IL,60029,,,X,,X,,X,,,,,,,965,,,
149793,,,,,,,,,,,,,,X,,,,,,,,,,Karan,,Hofmann,Program Director,202-330-0680,,khofmann@rtca.org,"1150 18th Street, NW, Suite 910",,Washington,DC,20036,,,X,,X,,X,,,,,,,,,,
149794,,,,,,,,,,,,,X,X,,,U.S.,,,,,,,Cathy,,Jones,Scholarship Coordinator,703-321-9606,,clj@nrtw.org,"5211 Port Royal Road, Suite 510",,Springfield,VA,22151,,,X,,,X,,X,,,,,,20,,,
149795,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Lynn,,DeSmet,Deputy Program Director,415-908-4540,,ussyp@hearstfdn.org,90 New Montgomery Street,Suite 1212,San Francisco,CA,94105,,,X,,,X,,X,,,,,,104,,,
149796,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Connie,,Wahlen,Programs Coordinator,816-561-8655,,cwahlen@ladiesauxvfw.org,"406 West 34th Street, 10th Floor",,Kansas City,MO,64111,,,X,,,X,,X,,artwork,,,,51,,,
149797,,,,,,,,,,,X,,,X,,,U.S.,,,,,,,,,,Education Programs,703-972-2647,866-896-5637,ED@afas-hq.org,"241 18th Street South, Suite 202",,Arlington,VA,22202,,,X,,,X,,X,,,,,,3368,,,
149800,,,,,,,,X,,,,,,X,,,,,,,,,,,,,Scholarships Coordinator,202-331-7070,,scholarships@lafoundation.org,"1129 20th Street, NW",Suite 202,Washington,DC,20036,,,X,,X,,X,,,,,,,18,,,
149805,,,,,,,,,,,,,,X,,,U.S.,,,,,,,,,,,203-752-4332,,info@kofc.org,Department of Scholarships,PO Box 1670,New Haven,CT,06507-0901,,,X,,,X,,X,,proof of parent's military service or employment in law enforcement services,,,,,,,
149808,,,,,,,,,,,,,,X,,,,,,,,,,,,,"Director, Student Ministry Department",716-357-4951,,,PO Box 1017,,Chautauqua,NY,14722-1017,,,X,,X,,,X,,,,,,105,,,
149813,,,,,,,,X,,,,,,X,,,U.S.,,,,,,,Michael,W.,Neff,Executive Director,703-836-4606,703-836-2024,mwneff@ashs.org,"810 12th Avenue, South",PO Box 320,Nashville,TN,37202-0320,,,X,,,X,,X,,,,,,25,,,
149815,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Jerelyn,,Weiss,Executive Director,917-524,,info@n-e-f.org,"137 Montague Street, Ste. 144",,Brooklyn,NY,11201,,,X,,,X,,X,,,,,,250,X,,
149816,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Matt,,Rosales,Program Manager,202-9733672,,scholars@nraef.org,2055 L St NW Suite 700,,Washington,DC,20036,,,X,,,X,,X,,,,,,468,X,,
149817,,,,,,,,,,,,X,,X,,,U.S.,,,,,,,,,,,203-752-4332,203-752-4103,info@kofc.org,"Department of Scholarships, PO Box 1670",,New Haven,CT,06507-0901,,,X,,,X,,X,,,,,,,,,
149818,,,,,,,,,,,,,,X,,,U.S.,,,,,,,,,,Scholarship Coordinator,708-352-6611,708-352-0499,outreach@ans.org,555 North Kensington Avenue,,La Grange Park,IL,60526,,,X,,,X,,X,,sponsorship letter from ANS organization,,,,,,,
149821,,,,,,,,,,,,,X,X,,,,,,,,,Ms.,Patti,,Chang,"Chairperson, NFB Scholarship Committee",410-659-9314,,scholarships@nfb.org,200 East Wells Street,,Baltimore,MD,21230,,,X,,X,,X,,,proof of legal blindness in both eyes,,,,720,,X,https://nfb.org//scholarships
149823,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Gail,P.,Brady,Scholarship Committee Chairperson,973-669-5807,,gbradygbconsult@verizon.net,Middlesex Water Co,1500 Ronson Rd.,Iselin,NJ,8830,,,X,,,X,,X,,,,,,80,,,
149824,,,,,,,,,,,,,,X,,,,,,,,,,,,,SME Education Foundation,313-425-3300,313-425-3411,foundation@sme.org,"One SME Drive, PO Box 930",,Dearborn,MI,48121,,,X,,X,,,X,X,,,,,,,,
149825,,,,,,,,,,,,,,X,,,,,,,,,,,,,,313-425-3300,,foundation@sme.org,One SME Drive,PO Box 930,Dearborn,MI,48121-0930,,,X,,X,,,X,X,,,,,,,,
149829,,,,,,,,,,X,,,,X,,,,,,,,,Mr.,Julio,,Moran,Executive Director,424-229-9482,424-238-0271,ccnmainfo@ccnma.org,ASU Walter Cronkite School of Journalism and Mass Communication,"725 Arizona Avenue, Suite 406",Santa Monica,CA,90401-1723,,,X,,X,,X,,X,,,,,80,,X,http://www.ccnma.org
149832,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Mark,,Davis,President,800-306-2653,404-733-5439,scholars@na.ko.com,PO Box 442,,Atlanta,GA,30301-0442,,,X,,,X,,X,,,,,,100000,X,X,http://www.coca-colascholars.org
149833,,,,,,,,X,,,,,,,,,,,,,,,,Frank,,Pugno,Scholarship Chairman,312-553-9137,312-553-9142,info.chicago@italchambers.net,"30 South Michigan Avenue, Suite 504",,Chicago,IL,60603,,,X,,X,,X,,,,,,,,,,
149834,,,,,,,,,,,X,,X,X,,,,,,,,,,Debbie,,Milman,Research Director,202-429-5383,202-429-4199,dmilman@nab.org,"1771 N Street, NW",,Washington,DC,20036,,,X,,X,,X,,,"research proposal, budget",,,,2,,,
149835,,,,,,,,,,,,,,,,21,U.S.,,,,,,,,,,Scholarship Committee,607-756-7553,,nysgrange@nysgrange.org,100 Grange Place,,Cortland,NY,13045,,,X,,,X,,X,,,,,,1,,,
149836,,,,,,,,,,,,,X,X,,,,,,,,,Ms.,Jessica,,Seitz,Membership and Conference Director,406-728-7434,406-728-7445,info@owaa.org,615 Oak St.,St. 201,Missoula,MT,59801,,,X,,X,,X,,,,,,,10,,,
149837,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Claudia,,Tremmelling,Scholarship Program Administrator,208-388-2200,,ctremmelling@idahopower.com,400 Commonwealth Drive,,Warrendale,PA,15096-0001,,,X,,,X,,X,,,,,,,,,
149842,,,,,,,,X,,,,,,X,,,,,,,,,,Nicole,,Aakre-Rubis,Scholarship Chair,,,,16085 Excel Way,,Rosemount,MN,55068,,,X,,X,,X,,,,,,,,,,
149843,,,,,,,,,,,,,,X,17,18,U.S.,,,,,,,David,L.,Grady,President,817-265-4074,,grady@orderofomega.org,611 East Westminster Road,,Lake Forest,IL,60045,,,X,,,X,,X,,,,,,,,,
149845,,,,,,,,,,,X,,,X,,,,,,,,,,Jesse,,Winch,Scholarship Administrator,301-493-0290,301-493-0208,scholarships@asprs.org,"5410 Grosvenor Lane, Suite 210",,Bethesda,MD,20814-2160,,,X,,X,,,X,,proposal,,,,,,,
149847,,,,,,,,,,,,,,X,,,,,,,,,,Lakeisha,,Graham,"Manager, Office of the Reporter General",202-628-1776,202-879-3348,nsdarscholarships@dar.org,"1776 D Street, NW",,Washington,DC,20006-5303,,,X,,X,,X,,,,,,,,,,
149848,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Lakeisha,,Graham,"Manager, Office of the Reporter General",202-628-1776,202-879-3348,nsdarscholarships@dar.org,"1776 D Street, NW",,Washington,DC,20006-5303,,,X,,,X,,X,,,,,,,,,
149849,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Lakeisha,,Graham,"Manager, Office of the Reporter General",202-628-1776,202-879-3348,nsdarscholarships@dar.org,"1776 D Street, NW",,Washington,DC,20006-5303,,,X,,,X,,X,,,,,,,,,
149853,,,,,,,,,,,,,,X,,,U.S.,,,,,,,,,,Scholarship Coordinator,708-352-6611,708-352-0499,outreach@ans.org,555 North Kensington Avenue,,La Grange Park,IL,60526,,,X,,,X,,X,,,,,,,,,
149854,,,,,,,,,,,,,,X,,,,,,,,,Ms.,Leslie,,Brazier,Administrative Assistant,203-254-4000,,AMGNational@fairfield.edu,1073 North Benson Rd.,Department of Modern Languages and Literatures-- Fairfield University,Fairfield,CT,6824,,,X,,X,,X,,,,,,,15,,,
149856,,,,,,,,,,,,X,,X,,,U.S.,,,,,,,,,,AAUW Fellowships and Grants,319-688-4334,,aauw@scholarshipamerica.org,C/O Scholarship America,"327 Second Street, Suite 103",Coralville,IA,52241,,,X,,,X,,X,,,,,,,,,
149859,,,,,,,,,,,,,,X,,,,,,,,,,Andrew,,Hochstetlet,Scholarship Committee,515-294-2841,,hochstet@iastate.edu,"Iowa State University, 203D East Hall",,Ames,IA,50011-4504,,,X,,X,,X,,,conceptual or empirical paper on a subject directly relating to criminology,,,,,,,
149865,,,,,,,,,,,,,,X,,,,,,,,,,Trish,,Kelly,Workforce Development Coordinator,781-821-5990,,scholarships@tourismcares.org,20 Vernon Street,2nd Floor,Norwood,MA,2062,,,X,,X,,,X,,,,,,,,,
149869,,,,,,,,,,,,,,X,,,,,,,,,,Trish,,Kelly,Workforce Development Coordinator,781-821-5990,,scholarships@tourismcares.org,20 Vernon Street,2nd Floor,Norwood,MA,2062,,,X,,X,,,X,,,,,,,,,
149870,,,,,,,,X,,,,,,X,,,U.S.,,,,,,,Anna,,Brown,AYF Coordinator,208-882-5578,208-882-8150,youth@appaloosa.com,2720 West Pullman Road,,Moscow,ID,83843,,,X,,,X,,X,,,,,,23,,,
149871,,,,,,,,,,,,,,X,,,,,,,,,,Sue,,Lauster,,313-240-4000,313-240-8641,,21400 Oakwood Boulevard,,Dearborn,MI,48124-4078,,,X,,X,,X,,,,,,,,,,
149879,,,,,,,,,,,,,,X,,,,,,,,,,Brenda,,Zastoupil,Director of Financial Aid,701-328-2906,701-328-2979,brenda.zastoupil@ndus.edu,"600 E Blvd Ave, Dept. 21",,Bismarck,ND,58505-0602,,,X,,,,,,,,,,,366,,,
149882,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Ashley,,Murphy,Communications Director,800-638-8387,,ashley@ilamvets.org,PO Box 372,,Groveland,IL,61535,,,X,,,X,,X,,,,,,,,,
149883,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Ashley,,Murphy,Communications Director,800-638-8387,,ashley@ilamvets.org,PO Box 372,,Groveland,IL,61535,,,X,,,X,,X,,,,,,,,,
149884,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Ashley,,Murphy,Communications Director,800-638-8387,,ashley@ilamvets.org,PO Box 372,,Groveland,IL,61535,,,X,,,X,,X,,,,,,,X,,
149887,,,,,,,,,,,,,,X,,,,,,,,,,Arlene,,Leonard,Secretary,712-542-2461,712-542-2461,gmbs@heartland.net,"107 East Main Street, PO Box 61",,Clarinda,IA,51632-0061,,,X,,X,,X,,,performance tape or CD,,,,30,,,
149888,,,,,,,,X,,,,,,X,,,U.S.,,,,,,,Ronald,,Hampton,Executive Director,202-986-2070,202-986-0410,nbpanatofc@worldnet.att.net,"30 Kennedy Street, NW, Suite 101",,Washington,DC,20011,,,X,,,X,,X,,letter of acceptance,,,,4,,,
149890,,,,,,,,,,,,,,X,,,,,,,,,,,,,,313-425-3300,,foundation@sme.org,One SME Drive,PO Box 930,Dearborn,MI,48121-0930,,,X,,X,,,X,X,,,,,,,,
149892,,,,,,,,,,,,,,X,,,U.S.,,,,,,,,,,Scholarship Committee,212-246-0655,,,"500 Fifth Avenue, Room 1800",,New York,NY,10110,,,X,,,X,,X,,,,,,57,,,
